,循环号,放电容量/Ah,矢量
179,179.0,0.7533284918905832,"[0, 1.0944444444444443, 0.16666666666666666, 1.05, 0.16666666666666666, 0.7533284918905832]"
180,180.0,0.7527838295812144,"[0, 1.0933333333333333, 0.16666666666666666, 1.0497222222222222, 0.16666666666666666, 0.7527838295812144]"
181,181.0,0.765190026627935,"[0, 1.083888888888889, 0.16666666666666666, 1.0522222222222222, 0.16666666666666666, 0.765190026627935]"
182,182.0,0.7656741709029289,"[0, 1.086111111111111, 0.16666666666666666, 1.0522222222222222, 0.16666666666666666, 0.7656741709029289]"
183,183.0,0.7662793512466708,"[0, 1.086111111111111, 0.16666666666666666, 1.0525, 0.16666666666666666, 0.7662793512466708]"
184,184.0,0.765190026627935,"[0, 1.0863888888888888, 0.16666666666666666, 1.0522222222222222, 0.16666666666666666, 0.765190026627935]"
185,185.0,0.7637375938029534,"[0, 1.0863888888888888, 0.16666666666666666, 1.0519444444444446, 0.16666666666666666, 0.7637375938029534]"
186,186.0,0.7635560396998313,"[0, 1.0863888888888888, 0.16666666666666666, 1.0519444444444446, 0.16666666666666666, 0.7635560396998313]"
187,187.0,0.750060518034374,"[0, 1.0933333333333333, 0.16666666666666666, 1.0494444444444446, 0.16666666666666666, 0.750060518034374]"
188,188.0,0.7455216654563062,"[0, 1.0922222222222222, 0.16666666666666666, 1.0486111111111112, 0.16666666666666666, 0.7455216654563062]"
189,189.0,0.7436456063907038,"[0, 1.0919444444444444, 0.16666666666666666, 1.0483333333333333, 0.16666666666666666, 0.7436456063907038]"
190,190.0,0.7535100459937061,"[0, 1.0913888888888887, 0.16666666666666666, 1.05, 0.16666666666666666, 0.7535100459937061]"
191,191.0,0.75756475429678,"[0, 1.0841666666666665, 0.16666666666666666, 1.051111111111111, 0.16666666666666666, 0.75756475429678]"
192,192.0,0.757443718228032,"[0, 1.0855555555555554, 0.16666666666666666, 1.051111111111111, 0.16666666666666666, 0.757443718228032]"
